Species,Abbreviation,Climatic type,Subfamily,C3/C4,decimalLatitude,decimalLongitude
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.700165,1.483322
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.575958,1.590961
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.048332,1.585535
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.67667,1.361222
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.677,1.3612
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.882318,1.350984
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.566775,0.97038
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.353977,1.673502
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.353977,1.545957
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.315356,1.527246
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.312646,1.51729
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.279823,1.592392
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.261272,1.585955
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.245727,1.542395
Andropogon chinensis,Ach,tropical,Panicoideae,C4,-10.7978,34.8882
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.393808,11.673482
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.315317,11.714785
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.434981,11.680031
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.431868,11.676869
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.434006,11.680988
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.346018,11.665148
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.309307,11.696441
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.313081,11.713731
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.310036,11.702013
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.348228,11.665415
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.325988,11.673502
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.31132,11.709576
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.719862,11.717674
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.346372,11.66674
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.554301,11.710184
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.308459,11.697976
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.3657,11.660019
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.308488,11.700915
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.359319,11.661832
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.554269,11.71334
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.349046,11.661085
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.352285,11.660586
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.434265,11.616691
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.367861,11.657501
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.433245,11.622188
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.361378,11.660299
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.361387,11.660091
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.355394,11.661036
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.368634,11.648215
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.362551,11.660889
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.363027,11.661342
Andropogon chinensis,Ach,tropical,Panicoideae,C4,2.372847,11.655414
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.187266,2.238884
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.182368,2.282582
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.175359,2.28836
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.178865,2.285936
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.168564,2.308822
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.1748,2.285758
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.169577,2.201762
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.167284,2.224055
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.16422,2.214115
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.165432,2.221036
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.157121,2.314235
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.786064,1.077568
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.697341,1.063567
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.488655,1.014632
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.488407,1.012509
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.3785,1.10849
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.377875,1.10786
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.377683,1.108583
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.376489,1.10843
Andropogon chinensis,Ach,tropical,Panicoideae,C4,39.879848,114.630747
Andropogon chinensis,Ach,tropical,Panicoideae,C4,-17.9,14.28
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.87255,0.37902
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.6402,0.52484
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.64286,0.51932
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.87341,0.37442
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.15,1.183333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.15,1.183333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.63005,0.51837
Andropogon chinensis,Ach,tropical,Panicoideae,C4,12.23281,0.29803
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.87175,0.37985
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.87175,0.37985
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.6402,0.52484
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.6402,0.52484
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.022633,1.4638
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.022633,1.4638
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.022633,1.4638
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.02575,1.466833
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.0357,1.494167
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.067567,1.5063
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.99575,1.633217
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.24535,1.362117
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.246617,1.362333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.026117,1.478117
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.2473,1.360417
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.025883,1.47655
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.025,1.47765
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.06795,1.50155
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.024217,1.478817
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.069633,1.502617
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.067783,1.504033
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.066733,1.5004
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.066733,1.5004
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.072483,1.494283
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.072433,1.49385
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.072633,1.494667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.084067,1.47735
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.084983,1.4772
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.084733,1.477283
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.085317,1.476333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.07505,1.502633
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.102867,1.5036
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.101917,1.504317
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.102567,1.503267
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.040783,1.494417
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.040783,1.494417
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.04255,1.501167
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.043833,1.499717
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.245367,1.36025
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.03165,1.525133
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.0226,1.469517
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.023,1.469383
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.0181,1.470517
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.0434,1.4982
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.024367,1.468767
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.04305,1.496967
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.787133,-4.661033
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.871383,-4.834
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.075917,-4.753333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,5.41,48.435
Andropogon chinensis,Ach,tropical,Panicoideae,C4,-9.607417,31.026217
Andropogon chinensis,Ach,tropical,Panicoideae,C4,-20.55,46.8
Andropogon chinensis,Ach,tropical,Panicoideae,C4,-20.55,46.8
Andropogon chinensis,Ach,tropical,Panicoideae,C4,-10.3,35.65
Andropogon chinensis,Ach,tropical,Panicoideae,C4,-3.911944,35.785556
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.04854,3.394209
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.36433,3.381923
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.161942,3.417814
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.133879,3.420907
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.942715,3.114521
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.269333,3.422669
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.29343,3.44441
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.051806,3.355611
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.051806,3.355611
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.061088,3.382751
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.173546,3.382099
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.048451,3.369723
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.048219,3.364983
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.183333,-4.3
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.233333,0.6
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.166667,-4.166667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,16.45,105.833333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.166667,-4.166667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.227694,2.670417
Andropogon chinensis,Ach,tropical,Panicoideae,C4,14.183333,105.816667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.066667,13.466667
